Table:CsvActivity,,,,,,
tid,name:s,type:ActivityType,act_tid,start_time:d,end_time:d,forever:b
#,名字,活动类型,活动ID,开始时间,结束时间,是否永久活动
#首冲礼包活动id为award.csv中礼包id,,,,,,
#连续登陆活动id为ContinuousLogin.csv,,,,,,
#充值返圣者遗物活动id为ChargeRecruitStoneAward,,,,,,
#许愿树WealthGodCome,,,,,,
#充值积分ChargeScoreAward，消费积分ConsumeScoreAward,,,,,,
#炼金术AlchemyAward,,,,,,
#集字换宝WordToTreasureAward,,,,,,
"#夺宝送礼,id:1",,,,,,
#折扣贩卖，id:1,,,,,,
#积分转盘，id:1,,,,,,
"#冒险礼物,id:10001",,,,,,
#占星有奖，id:10001,,,,,,
1,首冲礼包,首冲礼包,8001,2016-1-1,2048-1-1,1
2,成长计划,成长计划,7001,2016-1-1,2048-1-1,1
3,烹饪大餐,烹饪大餐,6001,2016-1-1,2048-1-1,1
4,世界Boss,世界Boss,4001,2016-1-1 20:00,2047-1-1 20:30,1
5,连续登录奖励1,连续登录奖励,1001,2016-10-1 05:00,2016-10-8 04:50,0
6,连续登录奖励2,连续登录奖励,2001,2016-9-15,2016-9-18,0
7,连续登录奖励3,连续登录奖励,3001,2016-4-22,2016-5-1,0
8,充值返圣者召唤遗物,充值返圣者召唤遗物,11001,2016-1-1,2048-1-1,1
9,VIP每日礼包,VIP每日礼包,13001,2016-1-1,2048-1-1,1
10,跨服神将,跨服神将,30101,2016-10-01 12:00,2016-10-04 21:00,0
11,跨服神将,跨服神将,10101,2016-10-05 12:00,2016-10-08 21:00,0
12,跨服神将,跨服神将,20101,2016-10-12 12:00,2016-10-15 21:00,0
13,跨服神将,跨服神将,40101,2016-10-19 12:00,2016-10-22 21:00,0
14,跨服神将,跨服神将,50101,2016-10-26 12:00,2016-10-29 21:00,0
15,消费积分,消费积分,30001,2016-09-30 05:00,2016-10-01 04:50,0
16,消费积分,消费积分,50001,2016-10-03 05:00,2016-10-04 04:50,0
17,消费积分,消费积分,40001,2016-10-05 05:00,2016-10-06 04:50,0
